ticker,cik,filing_date,accession,doc,tokens,substantive_full15,boilerplate_full15,tls_full15
ATGE,730464,2020-08-18,0001558370-20-010728,atge-20200630x10k.htm,84960,1.353578154425612,0.5296610169491525,0.8239171374764594
ATI,1018963,2020-02-25,0001018963-20-000004,atify201910-k.htm,69854,0.429467174392304,0.0,0.429467174392304
ATKR,1666138,2020-11-19,0001666138-20-000123,atkr2020annualreport.htm,55331,0.2710957690986969,0.6325567945636262,-0.3614610254649292
ATLC,1464343,2020-03-30,0001437749-20-006586,atlc20191231_10k.htm,53042,0.0,3.2050073526639267,-3.2050073526639267
ATO,731802,2020-11-13,0000731802-20-000040,ato202093010-k.htm,49979,0.6002521058844714,0.2000840352948238,0.4001680705896476
ATR,896622,2020-02-24,0001558370-20-001217,atr-20191231x10k2d4ba9.htm,62383,0.1603000817530417,0.1603000817530417,0.0
ATRC,1323885,2020-02-24,0001323885-20-000009,atrc-20191231x10k.htm,56586,0.0,0.1767221574240978,-0.1767221574240978
ATRO,8063,2020-03-02,0000008063-20-000013,atro-20191231.htm,43224,0.0,0.6940588561910049,-0.6940588561910049
ATUS,1702780,2020-02-14,0001628280-20-001613,atus-20191231.htm,92533,1.7831476338171246,0.1621043303470113,1.6210433034701133
AUB,883948,2020-02-25,0001558370-20-001345,aub-20191231x10k5152b8.htm,94271,0.5303858026328352,0.5303858026328352,0.0
AVA,104918,2020-02-26,0000104918-20-000036,ava-20191231x10k.htm,86735,24.903441517265232,0.4611748429123191,24.442266674352915
AVAV,1368622,2020-06-24,0001558370-20-007720,avav-20200623x10k.htm,69989,2.286073525839775,0.4286387860949577,1.857434739744817
AVB,915912,2020-02-21,0000915912-20-000004,a201910-k.htm,73782,0.1355344121872543,0.8809736792171532,-0.7454392670298989
AVDL,1012477,2020-03-16,0001012477-20-000007,avdl201910k.htm,67496,0.0,0.6667061751807515,-0.6667061751807515
AVGO,1730168,2020-12-18,0001730168-20-000226,avgo-20201101.htm,75649,0.8592314505148778,0.3965683617760974,0.4626630887387803
AVNT,1122976,2020-02-19,0001122976-20-000015,pol-20191231.htm,40860,0.2447381302006852,1.713166911404797,-1.4684287812041117
AVPT,1777921,2020-03-27,0001213900-20-007685,f10k2019_apextechnology.htm,58405,0.0,4.879719202123106,-4.879719202123106
AVT,8858,2020-08-14,0000008858-20-000025,avt-20200627x10k.htm,42451,0.0,0.2355657110550988,-0.2355657110550988
AVTR,1722482,2020-02-14,0001722482-20-000029,a2019q4annualreport.htm,56122,0.0,1.69274081465379,-1.69274081465379
AVY,8818,2020-02-26,0001104659-20-025360,avy-20191228x10k9cf60b.htm,20727,0.0,0.7236937328122739,-0.7236937328122739
AWI,7431,2020-07-28,0001564590-20-033679,awi-10ka_20191231.htm,57965,0.2587768480979902,0.6900715949279738,-0.4312947468299836
AWK,1410636,2020-02-18,0001410636-20-000040,a12312019-awkx10kdocum.htm,90038,0.8885137386436838,2.498944889935361,-1.610431151291677
AWR,1056903,2020-02-24,0001056903-20-000018,awr-20191231x10k.htm,67849,7.111379681351235,0.6632374832348302,6.448142198116405
AX,1299709,2020-08-26,0001299709-20-000156,a10-k20200630doc.htm,100859,0.0,1.0410573176414597,-1.0410573176414597
AXON,1069183,2020-02-28,0001069183-20-000016,a10kaaxn123119.htm,51426,1.4584062536460156,0.0,1.4584062536460156
AXP,4962,2020-02-13,0000004962-20-000030,axp-20191231.htm,88285,0.1699042872515149,1.982216684601008,-1.812312397349493
AXS,1214816,2020-02-27,0001214816-20-000011,a201910-k.htm,126994,0.7480668378033608,1.2992739814479426,-0.5512071436445817
AXSM,1579428,2020-03-12,0001558370-20-002573,axsm-20191231x10k.htm,94066,0.318925010099292,0.637850020198584,-0.318925010099292
AXTA,1616862,2020-02-19,0001616862-20-000012,a12201910-kdocument.htm,68880,0.0,1.3792102206736354,-1.3792102206736354
